"","MascFeel","MascLook","MascOrigin","Pressure","Rom.Lead","HealthWorry","FinWorry","AppWorry","SexWorry","Employ","Education","Income","Children","Marital","Orientation","Race","Age"
"36","m.feel_med","m.app_low","o_both","press_no","r.lead_no","h.worry_phys","f.worry_both","a.worry_phys","s.worry_perf","emp_pt","ed_p.ugrad","inc_mid","child_yes","m_wid","so_straight","race_White","a.35-64"
"37","m.feel_high","m.app_low","o_both","press_no","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"38","m.feel_low","m.app_low","o_family","press_yes","r.lead_no","h.worry_both","f.worry_both","a.worry_phys","s.worry_both","emp_u.nolook","ed_hs","inc_low","child_yes","m_mar","so_straight","race_asian","a.35-64"
"39","m.feel_med","m.app_low","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"40","m.feel_low","m.app_low","o_both","press_no","r.lead_yes","h.worry_both","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.look","ed_pgrad","inc_mid","child_no","m_nev","so_straight","race_White","a.35-64"
"41","m.feel_med","m.app_low","o_family","press_yes","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_nr","s.worry_nr","emp_pt","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"42","m.feel_high","m.app_med","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"43","m.feel_high","m.app_high","o_both","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_p.ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"44","m.feel_med","m.app_no","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_perf","emp_pt","ed_assoc","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"45","m.feel_low","m.app_low","o_both","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_hs","inc_low","child_yes","m_mar","so_straight","race_White","a.65+"
"46","m.feel_low","m.app_low","o_family","press_yes","r.lead_yes","h.worry_both","f.worry_providing","a.worry_both","s.worry_both","emp_ft","ed_pgrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.18-34"
"47","m.feel_high","m.app_med","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"48","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_both","f.worry_both","a.worry_both","s.worry_perf","emp_u.look","ed_ugrad","inc_low","child_no","m_nev","so_straight","race_White","a.35-64"
"49","m.feel_low","m.app_med","o_both","press_yes","r.lead_yes","h.worry_ment","f.worry_both","a.worry_phys","s.worry_perf","emp_ft","ed_pgrad","inc_mid","child_no","m_nev","so_straight","race_hisp","a.18-34"
"50","m.feel_med","m.app_low","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_pt","ed_pgrad","inc_low","child_yes","m_div","so_straight","race_White","a.65+"
"51","m.feel_high","m.app_med","o_both","press_no","r.lead_no","h.worry_both","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.nolook","ed_p.ugrad","inc_low","child_no","m_nev","so_gay","race_White","a.35-64"
"52","m.feel_med","m.app_no","o_society","press_no","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"53","m.feel_med","m.app_low","o_society","press_yes","r.lead_yes","h.worry_both","f.worry_personal","a.worry_both","s.worry_nr","emp_u.ret","ed_hs","inc_mid","child_yes","m_div","so_straight","race_White","a.35-64"
"54","m.feel_med","m.app_low","o_society","press_no","r.lead_yes","h.worry_both","f.worry_personal","a.worry_both","s.worry_perf","emp_ft","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"55","m.feel_med","m.app_low","o_society","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.nolook","ed_no.hs","inc_low","child_no","m_nev","so_straight","race_White","a.35-64"
"56","m.feel_high","m.app_low","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_nr","child_yes","m_mar","so_straight","race_White","a.65+"
"57","m.feel_high","m.app_low","o_society","press_yes","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_low","child_yes","m_div","so_straight","race_White","a.65+"
"58","m.feel_med","m.app_med","o_family","press_yes","r.lead_no","h.worry_phys","f.worry_personal","a.worry_nr","s.worry_nr","emp_pt","ed_p.ugrad","inc_low","child_yes","m_mar","so_straight","race_White","a.65+"
"59","m.feel_high","m.app_high","o_society","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.nolook","ed_hs","inc_low","child_no","m_mar","so_straight","race_White","a.35-64"
"60","m.feel_high","m.app_high","o_family","press_yes","r.lead_no","h.worry_nr","f.worry_personal","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"61","m.feel_high","m.app_no","o_family","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"62","m.feel_low","m.app_med","o_society","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_style","s.worry_nr","emp_u.look","ed_hs","inc_low","child_no","m_nev","so_straight","race_White","a.18-34"
"63","m.feel_low","m.app_med","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_both","a.worry_phys","s.worry_perf","emp_ft","ed_pgrad","inc_low","child_yes","m_mar","so_straight","race_White","a.35-64"
"64","m.feel_high","m.app_med","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_both","s.worry_perf","emp_pt","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"65","m.feel_med","m.app_low","o_both","press_no","r.lead_no","h.worry_nr","f.worry_personal","a.worry_phys","s.worry_nr","emp_ft","ed_assoc","inc_mid","child_no","m_nev","so_gay","race_White","a.35-64"
"66","m.feel_high","m.app_high","o_family","press_no","r.lead_no","h.worry_nr","f.worry_both","a.worry_nr","s.worry_nr","emp_ft","ed_pgrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.35-64"
"67","m.feel_med","m.app_low","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_perf","emp_u.ret","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"68","m.feel_high","m.app_no","o_family","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.nolook","ed_p.ugrad","inc_nr","child_yes","m_mar","so_straight","race_White","a.35-64"
"69","m.feel_med","m.app_med","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_phys","s.worry_nr","emp_ft","ed_p.ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"70","m.feel_high","m.app_med","o_none","press_yes","r.lead_no","h.worry_nr","f.worry_providing","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_asian","a.65+"
"71","m.feel_med","m.app_med","o_family","press_no","r.lead_no","h.worry_both","f.worry_both","a.worry_phys","s.worry_nr","emp_pt","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"72","m.feel_med","m.app_low","o_both","press_yes","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_gen","emp_u.ret","ed_p.ugrad","inc_high","child_no","m_nev","so_other","race_White","a.35-64"
"73","m.feel_med","m.app_med","o_family","press_yes","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_style","s.worry_nr","emp_u.ret","ed_ugrad","inc_nr","child_yes","m_mar","so_straight","race_White","a.65+"
"74","m.feel_med","m.app_low","o_family","press_no","r.lead_no","h.worry_ment","f.worry_both","a.worry_phys","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"75","m.feel_low","m.app_no","o_society","press_yes","r.lead_yes","h.worry_both","f.worry_personal","a.worry_nr","s.worry_nr","emp_ft","ed_pgrad","inc_mid","child_no","m_mar","so_straight","race_asian","a.35-64"
"76","m.feel_high","m.app_med","o_both","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_ugrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"77","m.feel_high","m.app_no","o_family","press_yes","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_nr","s.worry_nr","emp_pt","ed_pgrad","inc_high","child_yes","m_div","so_straight","race_White","a.65+"
"78","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"79","m.feel_med","m.app_med","o_family","press_yes","r.lead_yes","h.worry_both","f.worry_nr","a.worry_phys","s.worry_perf","emp_pt","ed_assoc","inc_high","child_no","m_mar","so_gay","race_White","a.35-64"
"80","m.feel_high","m.app_med","o_society","press_no","r.lead_no","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_assoc","inc_mid","child_yes","m_wid","so_straight","race_White","a.65+"
"81","m.feel_med","m.app_high","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_phys","s.worry_nr","emp_u.ret","ed_assoc","inc_high","child_yes","m_mar","so_bi","race_White","a.35-64"
"82","m.feel_high","m.app_low","o_both","press_no","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_style","s.worry_nr","emp_u.ret","ed_p.ugrad","inc_high","child_yes","m_div","so_straight","race_other","a.65+"
"83","m.feel_high","m.app_high","o_both","press_yes","r.lead_yes","h.worry_phys","f.worry_both","a.worry_phys","s.worry_perf","emp_ft","ed_pgrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"84","m.feel_high","m.app_high","o_family","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.nolook","ed_assoc","inc_nr","child_yes","m_mar","so_straight","race_White","a.35-64"
"85","m.feel_high","m.app_low","o_both","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"86","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_pt","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"87","m.feel_high","m.app_med","o_both","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_no","m_mar","so_straight","race_White","a.65+"
"88","m.feel_low","m.app_med","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_personal","a.worry_phys","s.worry_perf","emp_u.ret","ed_p.ugrad","inc_low","child_no","m_mar","so_other","race_White","a.35-64"
"89","m.feel_med","m.app_low","o_family","press_yes","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.look","ed_assoc","inc_nr","child_no","m_nev","so_straight","race_White","a.18-34"
"90","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"91","m.feel_med","m.app_low","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_pt","ed_ugrad","inc_mid","child_yes","m_div","so_straight","race_White","a.35-64"
"92","m.feel_med","m.app_low","o_family","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_ugrad","inc_low","child_no","m_wid","so_bi","race_White","a.35-64"
"93","m.feel_high","m.app_med","o_society","press_no","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_phys","s.worry_nr","emp_u.ret","ed_ugrad","inc_high","child_no","m_mar","so_straight","race_hisp","a.65+"
"94","m.feel_med","m.app_low","o_both","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_perf","emp_pt","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"95","m.feel_low","m.app_no","o_both","press_no","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_both","s.worry_both","emp_ft","ed_hs","inc_low","child_no","m_mar","so_other","race_White","a.35-64"
"96","m.feel_med","m.app_med","o_society","press_no","r.lead_yes","h.worry_ment","f.worry_both","a.worry_style","s.worry_gen","emp_u.look","ed_hs","inc_low","child_yes","m_div","so_straight","race_White","a.18-34"
"97","m.feel_high","m.app_no","o_both","press_yes","r.lead_no","h.worry_ment","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.nolook","ed_assoc","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"98","m.feel_med","m.app_low","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_phys","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"99","m.feel_med","m.app_med","o_both","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_pt","ed_pgrad","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"100","m.feel_med","m.app_no","o_family","press_yes","r.lead_no","h.worry_phys","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_low","child_yes","m_wid","so_straight","race_White","a.65+"
"101","m.feel_high","m.app_high","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_hs","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"102","m.feel_med","m.app_low","o_family","press_yes","r.lead_yes","h.worry_phys","f.worry_both","a.worry_nr","s.worry_nr","emp_ft","ed_hs","inc_mid","child_yes","m_div","so_straight","race_White","a.35-64"
"103","m.feel_high","m.app_med","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_assoc","inc_mid","child_no","m_mar","so_straight","race_White","a.65+"
"104","m.feel_med","m.app_no","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_nr","s.worry_nr","emp_ft","ed_no.hs","inc_low","child_yes","m_nev","so_straight","race_other","a.18-34"
"105","m.feel_low","m.app_low","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_providing","a.worry_phys","s.worry_nr","emp_u.ret","ed_pgrad","inc_high","child_yes","m_div","so_straight","race_White","a.65+"
"106","m.feel_high","m.app_low","o_family","press_yes","r.lead_no","h.worry_phys","f.worry_both","a.worry_phys","s.worry_gen","emp_u.look","ed_pgrad","inc_mid","child_no","m_nev","so_gay","race_White","a.65+"
"107","m.feel_med","m.app_low","o_both","press_yes","r.lead_no","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_high","child_yes","m_wid","so_straight","race_White","a.65+"
"108","m.feel_med","m.app_high","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_both","a.worry_phys","s.worry_nr","emp_ft","ed_pgrad","inc_high","child_no","m_mar","so_straight","race_White","a.35-64"
"109","m.feel_high","m.app_high","o_both","press_no","r.lead_no","h.worry_nr","f.worry_personal","a.worry_both","s.worry_nr","emp_u.nolook","ed_p.ugrad","inc_mid","child_yes","m_wid","so_straight","race_White","a.65+"
"110","m.feel_med","m.app_low","o_both","press_no","r.lead_no","h.worry_both","f.worry_both","a.worry_nr","s.worry_nr","emp_ft","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.35-64"
"111","m.feel_med","m.app_med","o_both","press_no","r.lead_yes","h.worry_both","f.worry_nr","a.worry_phys","s.worry_perf","emp_ft","ed_pgrad","inc_mid","child_yes","m_mar","so_bi","race_White","a.35-64"
"112","m.feel_med","m.app_med","o_family","press_no","r.lead_no","h.worry_phys","f.worry_both","a.worry_phys","s.worry_perf","emp_ft","ed_ugrad","inc_high","child_yes","m_mar","so_straight","race_other","a.35-64"
"113","m.feel_high","m.app_no","o_both","press_yes","r.lead_no","h.worry_both","f.worry_personal","a.worry_nr","s.worry_perf","emp_ft","ed_ugrad","inc_high","child_no","m_nev","so_straight","race_other","a.18-34"
"114","m.feel_high","m.app_high","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_pgrad","inc_mid","child_yes","m_wid","so_straight","race_White","a.65+"
"115","m.feel_high","m.app_med","o_family","press_yes","r.lead_yes","h.worry_nr","f.worry_providing","a.worry_nr","s.worry_nr","emp_ft","ed_hs","inc_low","child_yes","m_nev","so_straight","race_other","a.18-34"
"116","m.feel_no","m.app_low","o_both","press_yes","r.lead_no","h.worry_nr","f.worry_personal","a.worry_both","s.worry_perf","emp_pt","ed_p.ugrad","inc_low","child_no","m_nev","so_bi","race_other","a.18-34"
"117","m.feel_med","m.app_med","o_both","press_yes","r.lead_yes","h.worry_both","f.worry_nr","a.worry_phys","s.worry_perf","emp_u.look","ed_p.ugrad","inc_low","child_no","m_nev","so_straight","race_White","a.35-64"
"118","m.feel_med","m.app_low","o_none","press_yes","r.lead_yes","h.worry_phys","f.worry_providing","a.worry_both","s.worry_perf","emp_ft","ed_ugrad","inc_low","child_no","m_nev","so_bi","race_black","a.18-34"
"119","m.feel_high","m.app_med","o_family","press_no","r.lead_no","h.worry_nr","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.ret","ed_ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"120","m.feel_high","m.app_low","o_family","press_no","r.lead_yes","h.worry_nr","f.worry_personal","a.worry_phys","s.worry_perf","emp_u.ret","ed_hs","inc_mid","child_yes","m_mar","so_straight","race_White","a.65+"
"121","m.feel_med","m.app_med","o_both","press_no","r.lead_no","h.worry_phys","f.worry_nr","a.worry_phys","s.worry_nr","emp_u.ret","ed_assoc","inc_low","child_yes","m_mar","so_straight","race_White","a.35-64"
"122","m.feel_med","m.app_low","o_family","press_yes","r.lead_no","h.worry_phys","f.worry_nr","a.worry_nr","s.worry_nr","emp_ft","ed_p.ugrad","inc_high","child_yes","m_mar","so_straight","race_White","a.65+"
"123","m.feel_high","m.app_med","o_family","press_no","r.lead_yes","h.worry_phys","f.worry_providing","a.worry_nr","s.worry_nr","emp_u.nolook","ed_assoc","inc_high","child_yes","m_mar","so_straight","race_White","a.35-64"
"124","m.feel_med","m.app_high","o_society","press_yes","r.lead_no","h.worry_ment","f.worry_nr","a.worry_phys","s.worry_gen","emp_ft","ed_p.ugrad","inc_high","child_no","m_mar","so_gay","race_White","a.35-64"
"125","m.feel_low","m.app_med","o_both","press_yes","r.lead_yes","h.worry_both","f.worry_both","a.worry_phys","s.worry_both","emp_ft","ed_p.ugrad","inc_mid","child_yes","m_mar","so_straight","race_White","a.35-64"
"126","m.feel_high","m.app_low","o_both","press_no","r.lead_no","h.worry_phys","f.worry_nr","a.worry_nr","s.worry_nr","emp_u.nolook","ed_hs","inc_mid","child_yes","m_wid","so_straight","race_White","a.65+"
